row_number;Identifiant_de_l_etablissement;Nom_etablissement
434;0011067E;Collège Sabine Zlatin
435;0011068F;Collège Xavier Bichat
436;0011070H;Collège Antoine Chintreuil
437;0011071J;Collège le Grand Cèdre
438;0011074M;Maison Familiale Rurale de Bâgé-le-Châtel
439;0011075N;Ecole maternelle
440;0011076P;Ecole maternelle
441;0011079T;Ecole maternelle
442;0011084Y;Ecole primaire Jean de Paris
443;0011085Z;Ecole maternelle Les Corbettes
444;0011086A;Ecole élémentaire Les Lilas
445;0011087B;Ecole primaire Arlod
446;0011089D;Ecole élémentaire
447;0011090E;Ecole primaire Village
448;0011091F;Ecole élémentaire
449;0011092G;Ecole primaire
450;0011093H;Ecole élémentaire Jacques Prévert
451;0011094J;Ecole élémentaire
452;0011095K;Ecole maternelle
453;0011097M;Ecole maternelle
454;0011099P;ECOLE DU MUGUET
455;0011102T;Section d'enseignement général et professionnel adapté du Collège Anne Frank
456;0011107Y;Ecole élémentaire Centre
457;0011108Z;Ecole élémentaire Charles Robin
458;0011109A;Ecole maternelle L'Eglisette
459;0011110B;Ecole élémentaire publique L'Eglisette
460;0011113E;Ecole primaire
461;0011114F;Ecole élémentaire
462;0011115G;Ecole maternelle
463;0011117J;Ecole Primaire Les Arbelles
464;0011118K;Lycée professionnel Gabriel Voisin
465;0011119L;Lycée polyvalent Arbez-Carme
466;0011124S;ECOLE ELEMENTAIRE PUBLIQUE
467;0011125T;ECOLE DES DEUX PONTS
468;0011127V;Ecole primaire
469;0011128W;Ecole primaire Pierre Racine
470;0011129X;ECOLE PRIMAIRE
471;0011131Z;Ecole élementaire Le Jura
472;0011132A;Ecole primaire Les Bayards
473;0011133B;Ecole maternelle publique
474;0011136E;Ecole maternelle Champ Bouvier
475;0011137F;Circonscription d'inspection du 1er degré de Valserhône
476;0011138G;Ecole primaire privée
477;0011141K;Ecole maternelle Françoise Dolto
478;0011144N;Ecole maternelle Bret
479;0011145P;ECOLE SEBASTIEN CASTELLION
480;0011146R;ECOLE DE PARVES ET NATTAGES
481;0011147S;Ecole primaire
482;0011148T;Ecole primaire Charles Péguy
483;0011150V;Collège Lamartine
484;0011151W;Collège Saint-Joseph
485;0011165L;Ecole maternelle Pré des Saules
486;0011167N;Ecole maternelle
487;0011168P;Ecole élémentaire Pré des Saules
488;0011169R;ECOLE PRIMAIRE
489;0011170S;Maison Familiale Rurale de la Saulsaie - Montluel
490;0011171T;Maison Familiale Rurale de Pont-de-Veyle
491;0011176Y;Ecole primaire Charles Perrault
492;0011177Z;ECOLE ELEMENTAIRE DU VALLON
493;0011178A;ECOLE DE LA LIBERTE
494;0011180C;Ecole maternelle Le Ménel
495;0011181D;Ecole Maternelle
496;0011193S;Collège Léon-Marie Fournet
497;0011195U;Section d'enseignement général et professionnel adapté du Collège Léon-Marie Fournet
498;0011199Y;Ecole primaire privée Saint Jean Bosco
499;0011200Z;Ecole secondaire privée Saint Jean Bosco
500;0011201A;Ecole de Bohas-Meyriat-Rignat
501;0011205E;Ecole maternelle Les Lilas
502;0011207G;Ecole élémentaire Jules Ferry
503;0011208H;Ecole primaire Le Grand Clos
504;0011209J;ECOLE ROLAND VITTE
505;0011214P;RPI ECHALLON-BELLEYDOUX ECOLE DE LA SEMINE
506;0011216S;Ecole primaire du Moulin
507;0011217T;Ecole élémentaire La Bovagne
508;0011218U;Ecole primaire Arbère
509;0011219V;Ecole primaire
510;0011221X;Ecole élémentaire
511;0011224A;Ecole primaire Marius Pinard
512;0011227D;Ecole primaire
513;0011228E;Ecole maternelle Le Petit Poucet
514;0011229F;Ecole élementaire
515;0011231H;Ecole primaire du Grand Cyprès
516;0011232J;Ecole primaire Les Condamines
517;0011238R;Ecole primaire privée La Sidoine
518;0011241U;Service social scolaire de la DSDEN de l'Ain
519;0011245Y;Ecole maternelle
520;0011247A;Ecole primaire Mairie
521;0011248B;Ecole élémentaire Champ Bouvier
522;0011249C;Circonscription d'inspection du 1er degré de Miribel
523;0011251E;Ecole primaire
524;0011252F;Ecole élémentaire Les Erables
525;0011253G;Ecole maternelle Le Tiret
526;0011256K;Ecole privée Silvya Terrade - Bourg-en-Bresse
527;0011257L;Collège de la Dombes
