Nom_etablissement,Type_etablissement,Libelle_departement,latitude,longitude,Restauration,rest_priority_score
Geoffroy Saint-Hilaire (Ecole secondaire privée),École,Paris,48.83091247,2.37134531,0,0.6
International School of Paris (Ecole secondaire privée),École,Paris,48.85865137,2.28725771,0,0.6
Ecole technologique privée Métiers de la création-La Ruche,École,Paris,48.88309718,2.3742594,0,0.6
Collège privé Morvan,Collège,Paris,48.87596786,2.33208939,0,0.6
École internationale bilingue-Étoile,École,Paris,48.87703315,2.28998126,0,0.6
Collège privé France Quéré - Association Votre école chez vous,École,Paris,48.86132583,2.38479966,0,0.6
ETS - ECOLE EUROPEENNE (Ecole secondaire professionnelle privée),École,Paris,48.88519527,2.30094039,0,0.6
Cours privé Saint-John Perse (Ecole secondaire privée),École,Paris,48.8866189,2.32795435,0,0.6
E.P.PR GANENOU 231 boulevard Voltaire,Autre,Paris,48.85134829,2.39127351,0,0.6
IPECOM Prépa Sciences (Ecole secondaire privée),École,Paris,48.86648682,2.27562055,0,0.6
Lycée privé des Petits Champs,Lycée,Paris,48.87822059,2.38371246,0,0.6
Institut du Marais-Charlemagne-Pollès (Ecole secondaire privée),École,Paris,48.87034869,2.36444555,0,0.6
Lycée privé Morvan,Lycée,Paris,48.87596786,2.33208939,0,0.6
Lycée privé Edgar Poe,Lycée,Paris,48.87091489,2.34798764,0,0.6
L'Ecole (Ecole secondaire privée),École,Paris,48.84713545,2.28400848,0,0.6
Lycée polyvalent l'Initiative Paris,Lycée,Paris,48.8814766,2.37460614,0,0.6
Lycée privé Fénelon Sup - La Plaine Monceau,Lycée,Paris,48.88108476,2.31594584,0,0.6
Lycée privé polyvalent Catherine Labouré,Lycée,Paris,48.83401622,2.32625253,0,0.6
Lycée France Quéré - Association Votre école chez vous,École,Paris,48.86132583,2.38479966,0,0.6
Ecole privée de Dessin technique et artistique Sornas,École,Paris,48.88696638,2.30594333,0,0.6
Ecole Terrade Paris Opéra,École,Paris,48.86971641,2.33013281,0,0.6
E.P.PR IGOUD H AREDI 35 rue Miguel Hidalgo,Autre,Paris,48.88171223,2.39153629,0,0.6
E.P.PR The Lennen Bilingual School 176 rue de Grenelle,Autre,Paris,48.85257448,2.31372938,0,0.6
E.P.PR OHR KITOV (SINAI) 9 rue Jacques Ibert,Autre,Paris,48.88902623,2.29096467,0,0.6
E.E.PR YECHIVA TORAH WERAHAMIM 15 rue Riquet,Autre,Paris,48.88824618,2.37484531,0,0.6
ITECOM ART and DESIGN - Paris,Autre,Paris,48.86953603,2.33747499,0,0.6
Institut Point com,Autre,Paris,48.83196741,2.31046552,0,0.6
E.P.PR INTERNATIONAL SCHOOL OF PARIS 96 bis rue Ranelagh,Autre,Paris,48.85621075,2.26792928,0,0.6
E.M.PR DOUCES MATERNELLES 60 rue Notre Dame des Champs,Autre,Paris,48.84336506,2.33120595,0,0.6
Ecole générale et technologique privée Cours Legendre,École,Paris,48.85285395,2.36432095,0,0.6
E.P.PR ECOLE EJM 23 bis rue Guillaume Tell,École,Paris,48.88463903,2.29472814,0,0.6
Ecole Privée AKIBA - J.Cour,École,Paris,48.8492086,2.29676529,0,0.6
E.M.PR LES PETITS DRAGONS 29 rue Truffaut,Autre,Paris,48.88559204,2.32176415,0,0.6
Cours Diagonale,Autre,Paris,48.84151724,2.33838844,0,0.6
Section d'enseignement général et professionnel adapté du Collège Aimé Césaire,Collège,Paris,48.88757577,2.36197966,0,0.6
E.M.PR FIRST STEPS 7 bis rue Emile duclaux,Autre,Paris,48.84277676,2.30856342,0,0.6
E.P.PR GEORGES GUSDORF 98 rue Didot,Autre,Paris,48.82987783,2.31793643,0,0.6
E.P.PR LA MAISON DES ENFANTS Route du Champ de Manoeuvre,Autre,Paris,48.83471607,2.44907879,0,0.6
E.P.PR ECOLE GALILEE 43 rue François Gérard,École,Paris,48.84188287,2.26425133,0,0.6
E.P.S.PR SAINT-JEAN DE DIEU 205 rue Javel,Autre,Paris,48.84335604,2.28727749,0,0.6
E.M.PR MONTESSORI INTER JARDIN DU LUX 247 rue Saint-Jacques,Autre,Paris,48.84255037,2.34144246,0,0.6
E.M.PR MONTESSORI LA BALEINE 5 rue Buot,Autre,Paris,48.82716965,2.34921855,0,0.6
E.M.PR ECOLE A.P.E. 4 rue de Fleurus,École,Paris,48.84711134,2.33192779,0,0.6
Institut Supérieur des Ressources Informatiques,Lycée,Paris,48.88489364,2.29337192,0,0.6
Ecole générale et technologique privée Cours Progress,École,Paris,48.86016148,2.36624361,0,0.6
E.P.PR LA CANOPEE 21 passage dubail,Autre,Paris,48.87377872,2.36004906,0,0.6
Collège privé Cours du Pont de Pierre,Collège,Paris,48.83387691,2.29368751,0,0.6
E.P.PR JEAN PAUL II 6 rue Albert de Lapparent,Autre,Paris,48.84865646,2.30850449,0,0.6
Collège privé Catherine Labouré,Collège,Paris,48.83401622,2.32625253,0,0.6
Section d'enseignement professionnel privé Saint-Jean de Montmartre,Autre,Paris,48.88821536,2.33377473,0,0.6
E.M.PR LA PETITE ECOLE DU BON PASTEUR 90 rue de l'Assomption,École,Paris,48.85555226,2.2662894,0,0.6
E.M.PR MONTESSORI GRAINE A GRANDIR 13 rue des Rondonneaux,Autre,Paris,48.86373691,2.39876899,0,0.6
E.E.PR ICS Paris 23 rue de Cronstadt,Autre,Paris,48.83414511,2.30199286,0,0.6
Collège privé ICS Paris,Collège,Paris,48.83414511,2.30199286,0,0.6
E.M.PR DOUCES MATERNELLES BASTILLE 21 rue du Petit Musc,Autre,Paris,48.85263232,2.36407835,0,0.6
E.E.PR KINGSWORTH INTERNATIONAL SCHOOL 56 rue de Passy,Autre,Paris,48.85786842,2.27861762,0,0.6
E.M.PR THE BILINGUAL MONTESSORI SCHOOL OF PARIS 23 avenue George V,Autre,Paris,48.86750794,2.30093919,0,0.6
E.P.PR MONTESSORI 21 PARIS JAURES 74 quai de la Loire,Autre,Paris,48.88669764,2.37779862,0,0.6
E.P.PR MONTESSORI  107 boulevard de Sébastopol,Autre,Paris,48.86664518,2.35252735,0,0.6
E.M.PR 1 2 3 MON ECOLE 28 rue Frémicourt,École,Paris,48.84747723,2.29935462,0,0.6
E.P.PR ECOLE DEMOCRATIQUE DE PARIS 6 rue Léon Giraud,École,Paris,48.88730913,2.38143384,0,0.6
Collège privé Ecole Démocratique de Paris,École,Paris,48.88730913,2.38143384,0,0.6
Lycée privé Ecole Démocratique de Paris,École,Paris,48.88730913,2.38143384,0,0.6
E.E.PR COURS DU PONT DE PIERRE 11 rue Pierre Villey,Autre,Paris,48.85989101,2.30458662,0,0.6
E.E.PR LAB SCHOOL PARIS 46 rue de Montreuil,Autre,Paris,48.85036221,2.38837553,0,0.6
Ecole Canadienne Internationale de Paris,École,Paris,48.87002074,2.31919807,0,0.6
